RPeakID,RPeakTime,ParticipantID
1,0.008,1
2,0.496,1
3,1.295,1
4,2.013,1
5,2.683,1
6,3.397,1
7,4.153,1
8,4.911,1
9,5.752,1
10,6.665,1
11,7.571,1
12,8.459,1
13,8.935,1
14,9.407,1
15,10.297,1
16,11.202,1
17,12.027,1
18,12.779,1
19,13.538,1
20,14.232,1
21,14.996,1
22,15.81,1
23,16.546,1
24,17.315,1
25,18.081,1
26,18.783,1
27,19.537,1
28,20.244,1
29,20.942,1
30,21.719,1
31,22.468,1
32,23.188,1
33,23.916,1
34,24.635,1
35,25.314,1
36,26.014,1
37,26.715,1
38,27.372,1
39,28.038,1
40,28.71,1
41,29.356,1
42,29.984,1
43,30.65,1
44,31.285,1
45,31.89,1
46,32.545,1
47,33.198,1
48,33.837,1
49,34.493,1
50,35.164,1
51,35.812,1
52,36.437,1
53,37.148,1
54,37.817,1
55,38.445,1
56,39.143,1
57,39.818,1
58,40.471,1
59,41.141,1
60,41.815,1
61,42.459,1
62,43.135,1
63,43.821,1
64,44.496,1
65,45.17,1
66,45.855,1
67,46.526,1
68,47.211,1
69,47.899,1
70,48.579,1
71,49.252,1
72,49.935,1
73,50.616,1
74,51.284,1
75,51.957,1
76,52.63,1
77,53.31,1
78,54.02,1
79,54.694,1
80,55.377,1
81,56.091,1
82,56.767,1
83,57.423,1
84,58.101,1
85,58.791,1
86,59.446,1
87,60.121,1
88,60.795,1
89,61.436,1
90,62.095,1
91,62.763,1
92,63.407,1
93,64.041,1
94,64.697,1
95,65.37,1
96,66.039,1
97,66.759,1
98,67.505,1
99,68.218,1
100,68.939,1
101,69.655,1
102,70.315,1
103,70.97,1
104,71.642,1
105,72.313,1
106,72.964,1
107,73.63,1
108,74.26,1
109,74.936,1
110,75.572,1
111,76.203,1
112,76.876,1
113,77.54,1
114,78.186,1
115,78.833,1
116,79.485,1
117,80.088,1
118,80.711,1
119,81.343,1
120,81.946,1
121,82.568,1
122,83.166,1
123,83.772,1
124,84.386,1
125,84.982,1
126,85.588,1
127,86.231,1
128,86.735,1
129,87.259,1
130,88.139,1
131,88.804,1
132,89.454,1
133,90.062,1
134,90.695,1
135,91.341,1
136,91.989,1
137,92.637,1
138,93.327,1
139,94.008,1
140,94.547,1
1,0.314,10
2,0.972,10
3,1.651,10
4,2.327,10
5,2.983,10
6,3.579,10
7,4.161,10
8,4.742,10
9,5.321,10
10,5.909,10
11,6.495,10
12,7.099,10
13,7.712,10
14,8.324,10
15,8.938,10
16,9.548,10
17,10.171,10
18,10.8,10
19,11.435,10
20,12.08,10
21,12.746,10
22,13.395,10
23,14.047,10
24,14.69,10
25,15.317,10
26,15.943,10
27,16.564,10
28,17.175,10
29,17.773,10
30,18.358,10
31,18.945,10
32,19.547,10
33,20.157,10
34,20.733,10
35,21.312,10
36,21.898,10
37,22.495,10
38,23.079,10
39,23.669,10
40,24.247,10
41,24.825,10
42,25.405,10
43,25.986,10
44,26.566,10
45,27.152,10
46,27.729,10
47,28.29,10
48,28.854,10
49,29.417,10
50,29.976,10
51,30.543,10
52,31.112,10
53,31.678,10
54,32.256,10
55,32.85,10
56,33.429,10
57,34.003,10
58,34.572,10
59,35.143,10
60,35.706,10
61,36.263,10
62,36.812,10
63,37.362,10
64,37.93,10
65,38.499,10
66,39.066,10
67,39.631,10
68,40.214,10
69,40.802,10
70,41.375,10
71,41.94,10
72,42.509,10
73,43.071,10
74,43.619,10
75,44.165,10
76,44.702,10
77,45.235,10
78,45.769,10
79,46.301,10
80,46.857,10
81,47.423,10
82,48.011,10
83,48.599,10
84,49.213,10
85,49.849,10
86,50.446,10
87,51.043,10
88,51.635,10
89,52.232,10
90,52.799,10
91,53.355,10
92,53.909,10
93,54.463,10
94,55.018,10
95,55.568,10
96,56.129,10
97,56.698,10
98,57.252,10
99,57.807,10
100,58.371,10
101,58.941,10
102,59.503,10
103,60.056,10
104,60.604,10
105,61.168,10
106,61.752,10
1,0.386,11
2,0.899,11
3,1.415,11
4,1.939,11
5,2.48,11
6,3.019,11
7,3.593,11
8,4.254,11
9,4.909,11
10,5.527,11
11,6.169,11
12,6.843,11
13,7.493,11
14,8.147,11
15,8.804,11
16,9.44,11
17,10.034,11
18,10.629,11
19,11.208,11
20,11.784,11
21,12.344,11
22,12.91,11
23,13.492,11
24,14.096,11
25,14.668,11
26,15.249,11
27,15.847,11
28,16.456,11
29,17.046,11
30,17.65,11
31,18.267,11
32,18.868,11
33,19.461,11
34,20.055,11
35,20.649,11
36,21.227,11
37,21.807,11
38,22.396,11
39,22.998,11
40,23.57,11
41,24.15,11
42,24.735,11
43,25.313,11
44,25.874,11
45,26.453,11
46,27.029,11
47,27.59,11
48,28.16,11
49,28.746,11
50,29.304,11
51,29.873,11
52,30.464,11
53,31.042,11
54,31.612,11
55,32.191,11
56,32.774,11
57,33.33,11
58,33.903,11
59,34.489,11
60,35.074,11
61,35.645,11
62,36.24,11
63,36.839,11
64,37.412,11
65,37.978,11
66,38.558,11
67,39.13,11
68,39.704,11
69,40.262,11
70,40.827,11
71,41.404,11
72,41.955,11
73,42.51,11
74,43.068,11
75,43.632,11
76,44.192,11
77,44.753,11
78,45.318,11
79,45.888,11
80,46.465,11
81,47.017,11
82,47.588,11
83,48.163,11
84,48.727,11
85,49.284,11
86,49.846,11
87,50.407,11
88,50.968,11
89,51.509,11
90,52.051,11
91,52.588,11
92,53.113,11
93,53.634,11
94,54.16,11
95,54.694,11
96,55.227,11
97,55.757,11
98,56.295,11
99,56.849,11
100,57.39,11
101,57.917,11
102,58.448,11
103,58.99,11
104,59.52,11
105,60.042,11
106,60.571,11
107,61.027,11
108,61.655,11
1,0.157,12
2,1.045,12
3,1.876,12
4,2.712,12
5,3.558,12
6,4.417,12
7,5.223,12
8,6.055,12
9,6.903,12
10,7.716,12
11,8.522,12
12,9.365,12
13,10.251,12
14,11.099,12
15,11.577,12
16,12.035,12
17,12.521,12
18,12.974,12
19,13.824,12
20,14.606,12
21,15.436,12
22,16.301,12
23,17.117,12
24,18.025,12
25,18.503,12
26,18.983,12
27,19.461,12
28,19.929,12
29,20.759,12
30,21.63,12
31,22.525,12
32,23.329,12
33,24.193,12
34,24.681,12
35,25.143,12
36,26.015,12
37,26.897,12
38,27.366,12
39,27.87,12
40,28.722,12
41,29.586,12
42,30.487,12
43,31.375,12
44,32.175,12
45,32.639,12
46,33.097,12
47,33.991,12
48,34.809,12
49,35.284,12
50,35.78,12
51,36.267,12
52,36.76,12
53,37.651,12
54,38.454,12
55,39.33,12
56,40.219,12
57,41.033,12
58,41.94,12
59,42.405,12
60,42.915,12
61,43.375,12
62,43.853,12
63,44.715,12
64,45.619,12
65,46.519,12
66,47.319,12
67,48.149,12
68,49.009,12
69,49.848,12
70,50.623,12
71,51.517,12
72,52.389,12
73,53.218,12
74,53.987,12
75,54.692,12
76,55.382,12
77,56.247,12
78,57.072,12
79,57.948,12
80,58.817,12
81,59.696,12
82,60.563,12
1,0.063,13
2,0.523,13
3,1.342,13
4,2.078,13
5,2.767,13
6,3.457,13
7,4.133,13
8,4.803,13
9,5.494,13
10,6.202,13
11,6.916,13
12,7.617,13
13,8.303,13
14,8.974,13
15,9.598,13
16,10.214,13
17,10.868,13
18,11.541,13
19,12.238,13
20,12.883,13
21,13.511,13
22,14.214,13
23,15,13
24,15.813,13
25,16.535,13
26,17.193,13
27,17.859,13
28,18.547,13
29,19.246,13
30,19.909,13
31,20.533,13
32,21.145,13
33,21.744,13
34,22.321,13
35,22.901,13
36,23.496,13
37,24.127,13
38,24.781,13
39,25.41,13
40,26.039,13
41,26.693,13
42,27.371,13
43,28.049,13
44,28.683,13
45,29.335,13
46,29.997,13
47,30.634,13
48,31.251,13
49,31.867,13
50,32.52,13
51,33.23,13
52,33.927,13
