Time;EventType;ParticipantID
3.018;IC;1
3.417;TO;1
4.528;IC;1
5.209;TO;1
6.873;IC;1
7.154;TO;1
11.958;IC;1
12.802;TO;1
14.334;IC;1
14.549;TO;1
16.116;IC;1
16.444;TO;1
18.161;IC;1
18.339;TO;1
19.398;IC;1
20.262;TO;1
21.268;IC;1
22.082;TO;1
23.142;IC;1
24.116;TO;1
25.515;IC;1
25.734;TO;1
27.145;IC;1
27.797;TO;1
29.249;IC;1
29.428;TO;1
30.492;IC;1
31.292;TO;1
32.29;IC;1
33.422;TO;1
34.292;IC;1
35.088;TO;1
36.719;IC;1
38.726;TO;1
39.811;IC;1
40.6;TO;1
42.132;IC;1
42.621;TO;1
44.092;IC;1
44.291;TO;1
45.471;IC;1
46.263;TO;1
48.044;IC;1
48.223;TO;1
49.41;IC;1
50.405;TO;1
51.574;IC;1
52.278;TO;1
53.669;IC;1
53.881;TO;1
55.559;IC;1
55.757;TO;1
56.811;IC;1
2.367;IC;10
3.115;TO;10
3.987;IC;10
4.323;TO;10
5.024;IC;10
5.668;TO;10
6.309;IC;10
6.963;TO;10
8.023;IC;10
8.373;TO;10
9.345;IC;10
9.659;TO;10
10.306;IC;10
11.116;TO;10
11.639;IC;10
12.304;TO;10
12.982;IC;10
13.591;TO;10
14.565;IC;10
14.88;TO;10
15.594;IC;10
16.219;TO;10
16.893;IC;10
17.512;TO;10
18.244;IC;10
18.876;TO;10
19.473;IC;10
20.165;TO;10
20.933;IC;10
21.473;TO;10
22.133;IC;10
22.715;TO;10
23.443;IC;10
24.084;TO;10
24.695;IC;10
25.308;TO;10
26.006;IC;10
26.613;TO;10
27.24;IC;10
27.867;TO;10
28.493;IC;10
29.186;TO;10
29.841;IC;10
30.416;TO;10
31.092;IC;10
31.681;TO;10
32.305;IC;10
33;TO;10
33.672;IC;10
34.432;TO;10
34.947;IC;10
35.59;TO;10
36.298;IC;10
36.905;TO;10
37.877;IC;10
38.198;TO;10
38.865;IC;10
39.491;TO;10
40.228;IC;10
40.816;TO;10
41.473;IC;10
42.125;TO;10
43.093;IC;10
43.423;TO;10
44.141;IC;10
44.765;TO;10
45.446;IC;10
46.126;TO;10
46.733;IC;10
47.438;TO;10
48.121;IC;10
48.748;TO;10
49.42;IC;10
50.071;TO;10
50.788;IC;10
51.429;TO;10
52.05;IC;10
52.762;TO;10
53.418;IC;10
54.237;TO;10
54.732;IC;10
55.437;TO;10
56.07;IC;10
56.709;TO;10
57.361;IC;10
58.037;TO;10
58.793;IC;10
59.448;TO;10
2.2;IC;11
2.798;TO;11
3.635;IC;11
4.199;TO;11
5.03;IC;11
5.586;TO;11
6.372;IC;11
7.116;TO;11
7.782;IC;11
8.483;TO;11
9.281;IC;11
9.713;TO;11
10.702;IC;11
11.102;TO;11
12.239;IC;11
12.454;TO;11
13.369;IC;11
13.908;TO;11
14.902;IC;11
15.361;TO;11
16.06;IC;11
16.853;TO;11
17.7;IC;11
18.322;TO;11
19.141;IC;11
19.591;TO;11
20.426;IC;11
20.94;TO;11
22.103;IC;11
22.438;TO;11
23.153;IC;11
23.752;TO;11
24.75;IC;11
25.214;TO;11
25.932;IC;11
26.527;TO;11
27.508;IC;11
27.878;TO;11
28.49;IC;11
29.228;TO;11
30.38;IC;11
30.659;TO;11
31.363;IC;11
31.978;TO;11
32.736;IC;11
33.397;TO;11
34.392;IC;11
34.668;TO;11
35.294;IC;11
36.064;TO;11
37.179;IC;11
37.765;TO;11
38.419;IC;11
39.019;TO;11
39.924;IC;11
40.104;TO;11
40.911;IC;11
41.488;TO;11
42.497;IC;11
43.027;TO;11
43.848;IC;11
44.219;TO;11
45.147;IC;11
45.643;TO;11
46.705;IC;11
47.008;TO;11
47.93;IC;11
48.471;TO;11
49.501;IC;11
49.921;TO;11
50.571;IC;11
51.136;TO;11
52.142;IC;11
52.912;TO;11
53.615;IC;11
53.966;TO;11
54.838;IC;11
55.322;TO;11
56.064;IC;11
56.752;TO;11
57.807;IC;11
58.114;TO;11
59.197;IC;11
544;IC;12
918;TO;12
1.778;IC;12
2.224;TO;12
2.963;IC;12
3.41;TO;12
4.176;IC;12
4.551;TO;12
5.142;IC;12
5.562;TO;12
6.643;IC;12
6.819;TO;12
7.689;IC;12
8.156;TO;12
8.907;IC;12
9.326;TO;12
10.078;IC;12
10.514;TO;12
11.326;IC;12
11.683;TO;12
12.478;IC;12
12.825;TO;12
13.528;IC;12
14.072;TO;12
14.747;IC;12
15.25;TO;12
15.956;IC;12
16.484;TO;12
17.219;IC;12
17.678;TO;12
18.427;IC;12
18.745;TO;12
19.47;IC;12
19.782;TO;12
20.652;IC;12
20.935;TO;12
21.773;IC;12
22.246;TO;12
22.894;IC;12
23.387;TO;12
23.97;IC;12
24.491;TO;12
25.244;IC;12
25.564;TO;12
26.295;IC;12
26.743;TO;12
27.446;IC;12
27.773;TO;12
28.551;IC;12
28.908;TO;12
29.57;IC;12
29.944;TO;12
30.631;IC;12
31.078;TO;12
31.814;IC;12
32.29;TO;12
33.001;IC;12
33.402;TO;12
34.125;IC;12
34.456;TO;12
35.206;IC;12
35.546;TO;12
36.344;IC;12
36.734;TO;12
37.523;IC;12
37.867;TO;12
38.558;IC;12
39.017;TO;12
39.772;IC;12
40.149;TO;12
40.746;IC;12
