Time;EventType;ParticipantID
2.568;IC;31
3;TO;31
3.754;IC;31
4.537;TO;31
5.331;IC;31
6.342;TO;31
6.868;IC;31
7.455;TO;31
8.25;IC;31
8.869;TO;31
9.726;IC;31
10.404;TO;31
11.213;IC;31
11.902;TO;31
12.865;IC;31
13.617;TO;31
14.064;IC;31
14.692;TO;31
15.665;IC;31
16.19;TO;31
16.912;IC;31
17.595;TO;31
18.422;IC;31
19.053;TO;31
19.763;IC;31
20.679;TO;31
21.413;IC;31
22.176;TO;31
22.801;IC;31
23.313;TO;31
24.082;IC;31
24.78;TO;31
25.674;IC;31
26.17;TO;31
26.839;IC;31
27.506;TO;31
28.415;IC;31
29.101;TO;31
29.508;IC;31
30.231;TO;31
30.992;IC;31
31.727;TO;31
32.44;IC;31
33.377;TO;31
33.691;IC;31
34.719;TO;31
35.386;IC;31
36.113;TO;31
36.615;IC;31
37.237;TO;31
38.202;IC;31
38.644;TO;31
39.725;IC;31
39.994;TO;31
40.92;IC;31
41.642;TO;31
42.166;IC;31
42.791;TO;31
43.428;IC;31
44.135;TO;31
44.828;IC;31
45.525;TO;31
46.192;IC;31
47.117;TO;31
47.766;IC;31
48.212;TO;31
48.901;IC;31
49.827;TO;31
50.297;IC;31
50.913;TO;31
51.827;IC;31
52.289;TO;31
53.218;IC;31
53.949;TO;31
54.586;IC;31
55.088;TO;31
55.893;IC;31
56.747;TO;31
57.428;IC;31
58.098;TO;31
58.736;IC;31
59.181;TO;31
3.012;IC;32
3.33;TO;32
5.272;IC;32
6.669;TO;32
7.337;IC;32
8.245;TO;32
8.928;IC;32
9.894;TO;32
11.252;IC;32
11.699;TO;32
11.845;IC;32
13.381;TO;32
14.656;IC;32
14.922;TO;32
17.371;IC;32
18.171;TO;32
18.851;IC;32
19.99;TO;32
20.708;IC;32
21.787;TO;32
22.813;IC;32
23.414;TO;32
27.203;IC;32
27.996;TO;32
28.794;IC;32
29.808;TO;32
30.527;IC;32
31.24;TO;32
32.114;IC;32
32.872;TO;32
33.772;IC;32
34.465;TO;32
35.316;IC;32
36.004;TO;32
37.096;IC;32
37.877;TO;32
38.902;IC;32
39.397;TO;32
40.109;IC;32
41.175;TO;32
41.746;IC;32
42.588;TO;32
43.266;IC;32
44.499;TO;32
45.138;IC;32
45.899;TO;32
47.452;IC;32
47.668;TO;32
49.886;IC;32
50.908;TO;32
51.058;IC;32
52.761;TO;32
54.067;IC;32
54.344;TO;32
56.648;IC;32
59.589;TO;32
2.495;IC;33
3.202;TO;33
4.036;IC;33
4.419;TO;33
4.953;IC;33
5.632;TO;33
6.372;IC;33
6.724;TO;33
7.318;IC;33
7.941;TO;33
8.481;IC;33
9.075;TO;33
9.931;IC;33
10.384;TO;33
11.144;IC;33
11.431;TO;33
11.981;IC;33
12.597;TO;33
13.425;IC;33
13.871;TO;33
14.246;IC;33
14.882;TO;33
15.685;IC;33
16.098;TO;33
16.486;IC;33
17.163;TO;33
17.635;IC;33
18.261;TO;33
18.815;IC;33
19.379;TO;33
19.95;IC;33
20.66;TO;33
21.035;IC;33
21.67;TO;33
22.443;IC;33
22.785;TO;33
23.539;IC;33
23.859;TO;33
24.364;IC;33
24.967;TO;33
25.516;IC;33
26.175;TO;33
26.584;IC;33
27.179;TO;33
27.918;IC;33
28.318;TO;33
29.096;IC;33
29.46;TO;33
29.94;IC;33
30.535;TO;33
31.046;IC;33
31.626;TO;33
32.245;IC;33
32.694;TO;33
33.548;IC;33
33.964;TO;33
34.391;IC;33
34.917;TO;33
35.755;IC;33
36.086;TO;33
36.605;IC;33
37.169;TO;33
38.092;IC;33
38.282;TO;33
39.098;IC;33
39.434;TO;33
39.896;IC;33
40.508;TO;33
41.043;IC;33
41.765;TO;33
42.161;IC;33
42.679;TO;33
43.267;IC;33
43.995;TO;33
44.433;IC;33
44.945;TO;33
45.491;IC;33
46.036;TO;33
46.541;IC;33
47.21;TO;33
47.611;IC;33
48.189;TO;33
48.671;IC;33
49.283;TO;33
49.817;IC;33
50.457;TO;33
50.999;IC;33
51.662;TO;33
52.32;IC;33
52.747;TO;33
53.137;IC;33
53.725;TO;33
54.54;IC;33
54.886;TO;33
55.529;IC;33
55.902;TO;33
56.661;IC;33
57.013;TO;33
57.607;IC;33
58.084;TO;33
58.925;IC;33
59.127;TO;33
0.97;IC;34
1.087;TO;34
1.663;IC;34
2.041;TO;34
2.871;IC;34
3.277;TO;34
4.141;IC;34
4.525;TO;34
4.982;IC;34
5.856;TO;34
6.731;IC;34
7.143;TO;34
8.06;IC;34
8.414;TO;34
9.339;IC;34
9.73;TO;34
10.648;IC;34
11.05;TO;34
11.994;IC;34
12.352;TO;34
13.242;IC;34
13.67;TO;34
14.36;IC;34
14.962;TO;34
15.472;IC;34
16.269;TO;34
